SN82: c:0.07905164339176882 t0:0.20704417366551595 x0:1.509609335468182e-05 x1:0.21633357094584874 
SN83: c:0.08089255875245673 t0:0.09577901751205062 x0:1.2764622786060585e-05 x1:0.2303944345579925 
SN84: c:0.05023839261551356 t0:0.06881946909030418 x0:6.40090906977589e-06 x1:0.15706600479359184 
SN85: c:0.053694068504080414 t0:0.1154690456990429 x0:4.954421004062749e-05 x1:0.23894376236400117 
SN86: c:0.04285082507855604 t0:0.036737851579260336 x0:1.3182677325057725e-05 x1:0.032523768271228964 
SN87: c:0.06788468803309276 t0:0.14605138910290524 x0:1.4782637985491857e-05 x1:0.11815827419174876 
SN88: c:0.06535850424166169 t0:0.07572509212243887 x0:5.983005830256301e-06 x1:0.1593326019613974 
SN89: c:0.05214664177630196 t0:0.06314575794030675 x0:8.25481466029177e-06 x1:0.09261914197815639 
SN90: c:0.06025579498672742 t0:0.061349579677271275 x0:2.9939566127236225e-05 x1:0.07681276546288414 
SN91: c:0.06485482922087997 t0:0.07589685754950674 x0:7.779598740541392e-06 x1:0.15025976372642855 
SN92: c:0.04352194287562315 t0:0.06670166068427648 x0:6.992787148730657e-06 x1:0.12486404474832234 
SN93: c:0.040888744543620355 t0:0.04948122336280499 x0:2.420690869805919e-05 x1:0.03837237239343461 
SN94: c:0.039045103269074365 t0:0.05643907198974549 x0:1.7262085414979267e-05 x1:0.08058010096545858 
SN95: c:0.061861741952488544 t0:0.0625026273854732 x0:9.637461322563957e-06 x1:0.0637970555086385 
SN96: c:0.07415600258180731 t0:0.07663762960176755 x0:1.5512934800752173e-05 x1:0.3043938908344133 
SN97: c:0.06639201273581116 t0:0.06570384715058582 x0:6.41701357069247e-06 x1:0.10807106077160057 
SN98: c:0.04480152999285141 t0:0.10906605879792634 x0:3.700873644101939e-05 x1:0.39552901607855323 
SN99: c:0.06479149412616979 t0:0.078465802356502 x0:2.0582401950184857e-05 x1:0.14060064526096205 
SN100: c:0.04918640967511001 t0:0.06555795253647728 x0:1.0115290398167636e-05 x1:0.11515156388953246 
SN101: c:0.052074450862209555 t0:0.04311180220215348 x0:2.0429593087157206e-05 x1:0.09615595863785432 
SN102: c:0.04186420918575941 t0:0.10888618773045235 x0:1.1453837594391706e-05 x1:0.08721799745114321 
SN103: c:0.042293627340238164 t0:0.05812708252704718 x0:1.9297864588327115e-05 x1:0.07808226669651155 
SN104: c:0.06659513505071914 t0:0.12227986858736944 x0:1.1203927157391993e-05 x1:0.13189156714048636 
SN105: c:0.059208006181908086 t0:0.06576580235441573 x0:8.79765732030296e-06 x1:0.10986530526689635 
SN106: c:0.06319278009727519 t0:0.12178203751982336 x0:7.318724030234644e-06 x1:0.17233524461994632 
SN107: c:0.04482898363707258 t0:0.06033678187743018 x0:1.1885838955882774e-05 x1:0.07851322841019821 
SN108: c:0.065304459372512 t0:0.060745225085363924 x0:2.671020525045777e-05 x1:0.14734642589631983 
SN109: c:0.06507995845178169 t0:0.08948823493057065 x0:7.469064400566113e-06 x1:0.2091353164468019 
SN110: c:0.07141233010872455 t0:0.06851807449192573 x0:1.66156865767366e-05 x1:0.11427199025192546 
SN111: c:0.05306685108175976 t0:0.15964783440423702 x0:1.0047461733418929e-05 x1:0.12751814312197157 
SN112: c:0.048870777443898485 t0:0.11910733714086365 x0:9.64005147223802e-06 x1:0.11125885380544545 
SN113: c:0.03182411336413057 t0:0.05441192698048756 x0:1.3508018483666481e-05 x1:0.09293466364125326 
SN114: c:0.05009715645056057 t0:0.07053483172780378 x0:8.698962790050763e-06 x1:0.09262645423478542 
SN115: c:0.06599241930469611 t0:0.07363819820151979 x0:2.025314222922641e-05 x1:0.15376898952705445 
SN116: c:0.0482468034465892 t0:0.06213860568318571 x0:1.6941306797445432e-05 x1:0.09494632585919835 
SN117: c:0.06444791002776973 t0:0.06618860788803742 x0:1.5233959129921313e-05 x1:0.12383628122268381 
SN118: c:0.06004934482345761 t0:0.08616412924802383 x0:9.400697139537538e-06 x1:0.10372675948807922 
SN119: c:0.02563487249273782 t0:0.050966537441676354 x0:1.6528137594729876e-05 x1:0.05418533820656095 
SN120: c:0.03514134122525385 t0:0.03339270075535689 x0:3.2755269099937755e-05 x1:0.028669114050291464 
SN121: c:0.04404094536024239 t0:0.1959396104274163 x0:0.00018678141993606106 x1:0.13388101398492566 
SN122: c:0.04497480207560289 t0:0.06830949027452488 x0:9.149417476304333e-06 x1:0.07783414042021483 
SN123: c:0.07690377208996448 t0:0.08596287448630613 x0:1.0393237282272974e-05 x1:0.15239315769197137 
SN124: c:0.05324026614820873 t0:0.05082536366056284 x0:2.750482482536931e-05 x1:0.041855464010451204 
SN125: c:0.0568124217279332 t0:0.05848827949819928 x0:1.7324734892815834e-05 x1:0.09511026283838021 
SN126: c:0.05420005167770356 t0:0.13129839418236208 x0:5.8706710828455755e-06 x1:0.15788732199645364 
SN127: c:0.05402221767431454 t0:0.061464787732259746 x0:1.9481147600880315e-05 x1:0.08448277798367648 
SN128: c:0.012902419682293676 t0:0.10985988930227748 x0:2.1043076261292134e-05 x1:0.029767419752253103 
SN129: c:0.04590074284740527 t0:0.05877092966926621 x0:1.7674626603540614e-05 x1:0.100121325668726 
SN130: c:0.09045180135929838 t0:0.10508622585081713 x0:1.8474100949569917e-05 x1:0.9765117654325847 
SN131: c:0.04158017441814649 t0:0.03709861857090895 x0:5.1521240613919485e-05 x1:0.06216246545706231 
SN132: c:0.05151628279397192 t0:0.05696771446173232 x0:8.15351544005148e-06 x1:0.05707786299477129 
SN133: c:0.06347603843904963 t0:0.06815506156154999 x0:1.4080087957846456e-05 x1:0.11363579229288266 
SN134: c:0.04622529390515974 t0:0.16117396799017025 x0:1.845259398848463e-05 x1:0.1710848215480549 
SN135: c:0.5975889249099479 t0:1.012083520392978 x0:4.2958707656150723e-05 x1:33.71538022845235 
SN136: c:0.043202366102666694 t0:0.054642306915708885 x0:3.4483005239893685e-05 x1:0.07847420383008162 
SN137: c:0.05529334245210397 t0:0.05900488774475311 x0:1.7324631708628294e-05 x1:0.051501846603493835 
SN138: c:0.054698803037321345 t0:0.06418998693972287 x0:8.423254377692844e-06 x1:0.11985488361123478 
SN139: c:0.04299513458025341 t0:0.06858291926811919 x0:1.1406806459748595e-05 x1:0.12349382941145587 
SN140: c:0.08485918393590547 t0:0.1365560163726075 x0:1.2773622522692827e-05 x1:0.21420907561616045 
SN141: c:0.05902592825813983 t0:0.06502027437443497 x0:1.0948139749528045e-05 x1:0.08582221015853811 
SN142: c:0.050022056148083 t0:1.1079806426667214 x0:0.00020062092075421803 x1:2.467041792388967 
SN143: c:0.07081303588025348 t0:0.061541361700848674 x0:2.0443748803774107e-05 x1:0.10539844838487415 
SN144: c:0.05533467742781895 t0:0.1098891327677685 x0:7.831667900020557e-06 x1:0.10857078550486698 
SN145: c:0.05444965364791601 t0:0.062421833955959495 x0:1.5892236029248104e-05 x1:0.11937919125334151 
SN146: c:0.03538449430657082 t0:0.11286942924148995 x0:2.2593322584723895e-05 x1:0.07524762529093507 
SN147: c:0.048877531728233656 t0:0.0571796751391883 x0:2.4260770100450665e-05 x1:0.08637505725372935 
SN148: c:0.039267505800494144 t0:0.0422887285831128 x0:2.4168531382419467e-05 x1:0.03354090354993053 
SN149: c:0.04918595197396274 t0:0.05781033757702898 x0:7.284195530373236e-05 x1:0.08518854212744316 
SN150: c:0.06223135179918416 t0:0.08167387340032035 x0:7.762618833427347e-06 x1:0.07918233816657412 
SN151: c:0.053290393989664106 t0:0.049489703004603 x0:2.306960663155878e-05 x1:0.049187809463933196 
SN152: c:0.045884391731800596 t0:0.053719993536355114 x0:2.426251633756044e-05 x1:0.047571200211305335 
SN153: c:0.03857280179118767 t0:0.039715646224987085 x0:7.45120930543456e-05 x1:0.06958198464548523 
SN154: c:0.04615743827854305 t0:0.06009631098888595 x0:1.6021874777476776e-05 x1:0.07968677845302119 
SN155: c:0.05046030439417605 t0:0.05007593136936791 x0:6.750336689632007e-05 x1:0.07475388584045888 
SN156: c:0.03658004819400311 t0:0.05853291563237382 x0:7.151386294588458e-06 x1:0.1190375266005562 
SN157: c:0.07288109355144386 t0:0.06847217114953143 x0:1.4140538536930635e-05 x1:0.17114991921130984 
SN158: c:0.0642847314604475 t0:0.061277907287822904 x0:7.5693691149344945e-06 x1:0.11082192702676649 
SN159: c:0.06116917905018516 t0:0.11667737500865057 x0:1.315931082917142e-05 x1:0.11021530140954934 
SN160: c:0.044761591143706043 t0:0.039872430928645744 x0:7.317672459011784e-06 x1:0.08049423757391687 
SN161: c:0.03872417833809011 t0:0.04245167335161072 x0:1.5179005004005526e-05 x1:0.09133706364355583 
SN162: c:0.057342979861866435 t0:0.1158145064965554 x0:1.0837284582374489e-05 x1:0.13887224879991056 
SN163: c:0.045938757175873715 t0:0.061445606123015306 x0:1.652033720403885e-05 x1:0.06680528186848798 
SN164: c:0.05456641943683477 t0:0.06357008390532311 x0:1.2826091908177767e-05 x1:0.07540838524828976 
SN165: c:0.04232120455880955 t0:0.06051863082062996 x0:1.1860184251695354e-05 x1:0.1074202207170263 
SN166: c:0.024762002197973868 t0:0.03034056292565756 x0:2.2005212270187217e-05 x1:0.029625930272562145 
SN167: c:0.050751271982150556 t0:0.0635143055772281 x0:9.4117968048394e-06 x1:0.12579669474757305 
SN168: c:0.048292431060062646 t0:0.06375013649088851 x0:1.7983292353849785e-05 x1:0.10509040544889252 
SN169: c:0.04712192887583792 t0:0.04196274538521771 x0:2.6811135920591586e-05 x1:0.07513247910118541 
SN170: c:0.03132725677826754 t0:0.04820676906039864 x0:1.0242288469814716e-05 x1:0.08857498221486834 
SN171: c:0.041683970398739806 t0:0.1670353173791198 x0:0.00016620155111825584 x1:0.15326845401708838 
SN172: c:0.052247572208588215 t0:0.0665670443839384 x0:1.9060497397078688e-05 x1:0.10884525317257414 
SN173: c:0.05243663115321084 t0:0.06476150795576796 x0:1.0920201545537096e-05 x1:0.0939219812835742 
SN174: c:0.05359769862087429 t0:0.05804650887479695 x0:2.2471143023343137e-05 x1:0.06464480160524731 
SN175: c:0.07443635342055453 t0:0.11329660850813114 x0:3.037544301401136e-05 x1:0.15823463986316913 
SN176: c:0.041336065515429066 t0:0.12199409493178325 x0:2.766429853390968e-05 x1:0.1257325625787341 
SN177: c:0.06731098678908921 t0:0.06738854630538396 x0:1.1257344546270884e-05 x1:0.06464231757725214 
SN178: c:0.06285555281709158 t0:0.11310336814344989 x0:9.883117043308473e-06 x1:0.1146856483872222 
SN179: c:0.041093918570361064 t0:0.125629852564688 x0:7.861989553005257e-06 x1:0.09241091036843971 
SN180: c:0.046721475868519116 t0:0.05456409942817092 x0:3.5719184973494415e-05 x1:0.108460126194819 
SN181: c:0.05585996222202855 t0:0.06073532516221588 x0:1.1606236572478486e-05 x1:0.05156865739707482 
SN182: c:0.049693409637984944 t0:0.05824477750102878 x0:1.616579178188677e-05 x1:0.0618937735755393 
SN183: c:0.07042790986116737 t0:0.09590678408757308 x0:1.2935233979025778e-05 x1:0.17064548225515674 
SN184: c:0.04374906983724559 t0:0.06094172961903761 x0:1.7886675479049134e-05 x1:0.07539163291638513 
SN185: c:0.03356244635523566 t0:0.11668522742370648 x0:1.7795069127387803e-05 x1:0.06896074982053593 
SN186: c:0.04512202036115231 t0:0.0922862120442268 x0:5.946250938837598e-06 x1:0.16791285051670812 
SN187: c:0.05884356748678842 t0:0.11556684544433153 x0:9.136612696543586e-06 x1:0.07317048733697076 
SN188: c:0.03803055829563765 t0:0.053874334241009916 x0:2.2492588911877818e-05 x1:0.03709539646325758 
SN189: c:0.03564373033805345 t0:0.05573399232142249 x0:1.0234848525996835e-05 x1:0.0687715564542376 
SN190: c:0.07416354309123922 t0:0.07032558837850093 x0:6.752336241984802e-06 x1:0.1641925154270267 
SN191: c:0.04946640509436148 t0:0.058915867647502874 x0:1.027538976718216e-05 x1:0.07962259459382307 
SN192: c:0.03913464362145779 t0:0.11089532373300927 x0:1.5179977921722982e-05 x1:0.09553574433839777 
SN193: c:0.05657371757172907 t0:0.06420760795546658 x0:1.4790604794077804e-05 x1:0.08242037855370257 
SN194: c:0.03961156297172492 t0:0.06291130643803694 x0:9.840464072776324e-06 x1:0.09724613946862819 
SN195: c:0.06609971211905483 t0:0.06126801986156537 x0:1.1248646368581319e-05 x1:0.10719744128475404 
SN196: c:0.03477654399983379 t0:0.04235855925164885 x0:1.3093692822363681e-05 x1:0.05029087630704336 
SN197: c:0.04938519501153905 t0:0.13682406894065413 x0:1.03303800188676e-05 x1:0.11970584495851938 
SN198: c:0.06451420358150015 t0:0.11399954859333936 x0:6.805310919438949e-06 x1:0.2693728810188419 
SN199: c:0.033458138172123994 t0:0.06308686920311717 x0:6.249119587930732e-06 x1:0.1208829968439689 
SN200: c:0.03793213892305074 t0:0.03667761009855324 x0:3.4889471473986274e-05 x1:0.03251290955218686 
