SN91: c:0.0074081656055 t0:57793.3236431 x0:0.00133647142349 x1:1.18313364684 z:0.0550433406797 
SN92: c:-0.082605751026 t0:57973.1712875 x0:0.00108883889109 x1:-1.80430827958 z:0.059340397158 
SN93: c:0.162032295684 t0:57757.5589093 x0:0.000515004159096 x1:-7.3642567905 z:0.0993028763128 
SN94: c:-0.166843571238 t0:57908.7748832 x0:0.000763775276386 x1:-1.70261644972 z:0.0798853647358 
SN95: c:0.384329203213 t0:57998.0863508 x0:0.00258958319216 x1:-1.93287250698 z:0.0527620389986 
SN96: c:0.376962619046 t0:57978.5557552 x0:0.00489022104963 x1:-5.05410017975 z:0.0295385441549 
SN97: c:0.20625748933 t0:58108.4181977 x0:0.000455359155299 x1:-4.8829957009 z:0.092568035686 
SN98: c:-0.217437773707 t0:57788.1828962 x0:0.00107677322274 x1:1.88044947525 z:0.060237829067 
SN99: c:-0.28594668306 t0:57952.0424393 x0:0.0050191455664 x1:-1.4723203207 z:0.0352329403768 
SN100: c:-0.102153800678 t0:57755.3860146 x0:0.410285801338 x1:0.0553924896695 z:0.00394108550675 
