SN87: c:0.00142920709283 t0:0.010589108606 x0:3.38778712715e-05 x1:0.0164888992179 
SN88: c:0.0095469003192 t0:0.0499335486803 x0:8.57537340442e-06 x1:0.0705665507757 
SN89: c:0.00309425964656 t0:0.0412724727185 x0:1.14848486469e-05 x1:0.0299512562577 
SN90: c:0.0144877342396 t0:0.103328098064 x0:6.94021617901e-06 x1:0.156507267448 
SN91: c:0.00396513984705 t0:0.0400678106256 x0:6.66867746299e-06 x1:0.0402152919328 
SN92: c:0.00619552328583 t0:0.0753399636307 x0:8.57754488282e-06 x1:0.0681865693919 
SN93: c:0.00659932061088 t0:0.0534937636106 x0:4.72975744063e-06 x1:0.0698506720252 
SN94: c:0.00910678939868 t0:0.143785824223 x0:6.27807105896e-06 x1:0.125931213896 
SN95: c:0.00334100117589 t0:0.0386955019051 x0:1.16098442191e-05 x1:0.0275777696268 
SN96: c:0.00211734746519 t0:0.0145837802036 x0:1.35133259782e-05 x1:0.0242357075136 
SN97: c:0.00699862888988 t0:0.0319926415941 x0:4.54820963802e-06 x1:0.0343848678477 
SN98: c:0.00684765782818 t0:0.162468756128 x0:9.63465047657e-06 x1:0.0804786464997 
SN99: c:0.00358751878679 t0:0.0698831607134 x0:2.18198763141e-05 x1:0.0383657280317 
SN100: c:0.000344567704673 t0:0.00247125679812 x0:0.000204823711479 x1:0.00352660163295 
