SN97: c:0 t0:0 x0:0 x1:0
SN98: c:0.0206748285296 t0:0.0194006412527 x0:0.000222008028188 x1:0.0294302190473 
SN99: c:0.0282275190795 t0:0.0226177058453 x0:2.23332535624e-05 x1:0.111016209049 
SN100: c:0.00155825423698 t0:0.00119826842952 x0:0.000875347974646 x1:0.00111118175375 
SN101: c:0 t0:0 x0:0 x1:0
SN102: c:0 t0:0 x0:0 x1:0
SN103: c:0.0608719488973 t0:0.0658874600628 x0:2.67851463889e-05 x1:0.0966131480743 
SN104: c:0.0231248346779 t0:0.0271131573689 x0:0.000122332096786 x1:0.0528404529153 
SN105: c:0.023407006608 t0:0.022225124825 x0:0.000223407189238 x1:0.0336420070237 
SN106: c:0.0236749061985 t0:0.0276997063666 x0:0.000213876800653 x1:0.0437904017308 
SN107: c:0.00342000113676 t0:0.00405388745811 x0:0.00166462448809 x1:0.00300072678601 
SN108: c:0 t0:0 x0:0 x1:0
SN109: c:0.045083218621 t0:0.0414446249474 x0:3.54042775539e-05 x1:0.046172253603 
SN110: c:0.0488416055312 t0:0.0608089385247 x0:6.53772638026e-05 x1:0.0511118230163 
SN111: c:0.0439117300746 t0:0.0493921608249 x0:2.38181195369e-05 x1:0.0396656253879 
SN112: c:0.0445890369609 t0:0.0812360356248 x0:7.1011883777e-06 x1:0.218180088722 
SN113: c:0 t0:0 x0:0 x1:0
SN114: c:0.054679926578 t0:0.0590125093385 x0:4.86631212076e-05 x1:0.086035520502 
SN115: c:0.0401019850955 t0:0.0461060070684 x0:4.9680030782e-05 x1:0.0413521035509 
SN116: c:0.0471491289672 t0:0.0517855554256 x0:3.37560442199e-05 x1:0.081262799729 
SN117: c:0.034771710877 t0:0.040206990549 x0:8.65556971979e-05 x1:0.0623210807973 
SN118: c:0.00223625859699 t0:0.00208301584919 x0:0.000997776488786 x1:0.00170369253469 
SN119: c:0.0175342846493 t0:0.0269060314908 x0:6.15278343774e-06 x1:0.0229539648079 
SN120: c:0 t0:0 x0:0 x1:0
SN121: c:0.056797461211 t0:0.0646986282031 x0:2.25517857398e-05 x1:0.135492025578 
SN122: c:0.0569871092575 t0:0.0447958653278 x0:1.13865560336e-05 x1:0.0359004186191 
SN123: c:0.0648331127961 t0:0.0618747953518 x0:1.24523927792e-05 x1:0.0774692892119 
SN124: c:0.0877505973649 t0:0.185979474425 x0:0.000570189786555 x1:0.546763780815 
SN125: c:0.0575331829083 t0:0.14391040103 x0:0.000833258396685 x1:0.0700439601401 
SN126: c:0.0233244192327 t0:0.255846642468 x0:0.00461143602746 x1:0.132518183788 
SN127: c:0.0666076423004 t0:0.127163879665 x0:2.64826741884e-05 x1:0.140354405453 
SN128: c:0.00112965936774 t0:0.00128653431618 x0:0.00382812123326 x1:0.00300715410264 
SN129: c:0.0485543591442 t0:0.0504896392446 x0:3.16242742623e-05 x1:0.101017057361 
SN130: c:0.06846889372 t0:0.0732133046448 x0:1.00109717285e-05 x1:0.0684550916475 
