K2_Time,Counts,Raw,Sky,Error
double,double,double,double,float
3269.416888,5019.673007,5015.678018,15979.81738,20.431192
3269.437322,5035.110811,5032.843497,15969.23828,20.424427
3269.457755,5029.767603,5024.901291,15967.49121,20.423309
3269.478189,5030.660699,5023.364934,15955.20606,20.415451
3269.498622,5021.500326,5012.022793,15960.55176,20.418871
3269.519056,5033.706388,5022.879359,15946.2334,20.409712
3269.53949,5020.634188,5006.284294,15934.93164,20.402477
3269.559923,5024.732137,5005.209079,15931.44922,20.400248
3269.580357,5029.233959,5005.202434,15910.08594,20.386564
3269.600791,5021.431111,4996.857619,15912.47461,20.388094
3269.621224,5028.95276,5001.829235,15915.01856,20.389725
3269.641658,5024.343555,4989.076056,15893.51367,20.375944
3269.662091,5010.48591,4976.369685,15881.2334,20.368071
3269.682525,5015.293264,4976.269391,15869.31348,20.360426
3269.702959,5015.174285,4974.586495,15840.05566,20.341648
3269.723392,5023.853592,4977.694046,15848.24414,20.346905
3269.743826,5009.62942,4959.826155,15845.17578,20.344934
3269.764259,0,0,15848.13965,20.346838
3269.784693,5033.90519,5031.521238,15839.05957,20.341009
3269.805127,5027.162594,5022.708131,15825.08789,20.332037
3269.82556,5035.392516,5028.695408,15803.94922,20.318453
3269.845994,5028.944408,5020.428131,15806.52344,20.320105
3269.866427,4999.060329,4989.002791,15799.02539,20.315287
3269.886861,5014.075021,4998.135812,15791.79199,20.310637
3269.907295,5020.386344,5000.858277,15786.59375,20.307293
3269.927728,5029.575468,5008.585997,15782.17481,20.304449
3269.948162,5027.658656,5002.792053,15773.3457,20.298769
3269.968595,5023.435779,4995.204985,15769.95117,20.296585
3269.989029,5017.178164,4986.135266,15754.44531,20.286604
3270.009463,0,0,15758.30469,20.289089
3270.029896,5011.405155,5026.126607,15732.18652,20.272266
3270.05033,0,0,15730.42188,20.271132
3270.070763,5021.916762,5035.138286,15713.60352,20.260292
3270.091197,5030.407111,5042.926206,15706.96973,20.256014
3270.111631,5013.03254,5023.044817,15710.96289,20.258589
3270.132064,5026.669475,5037.553556,15702.97363,20.253437
3270.152498,5028.110663,5036.158643,15694.06836,20.247694
3270.172931,5025.998864,5031.633512,15684.58496,20.241575
3270.193365,5008.019969,5011.682039,15669.75391,20.232004
3270.213799,5012.755431,5015.978673,15677.01367,20.236689
3270.234232,5004.773586,5003.451959,15657.34863,20.223991
3270.254666,0,0,15648.31152,20.218155
3270.275099,0,0,15639.27539,20.212317
3270.295533,5009.187186,5016.595158,15629.05664,20.205711
3270.315967,5017.891168,5022.883094,15623.83887,20.202339
3270.3364,5016.464438,5021.086634,15623.71094,20.202257
3270.356834,5039.652895,5042.330428,15610.76856,20.193888
3270.377268,5028.547892,5031.697518,15609.69727,20.193195
3270.397701,5002.473687,5004.242145,15607.15625,20.191549
3270.418135,5025.936377,5023.284298,15597.29883,20.185173
3270.438568,5033.675033,5029.476801,15587.62109,20.178911
3270.459002,5018.280635,5013.950959,15572.64551,20.169214
3270.479436,5031.625553,5026.094212,15561.22266,20.161816
3270.499869,5038.100846,5029.522053,15562.20508,20.162453
3270.520303,5021.668417,5011.550969,15550.33008,20.154758
3270.540736,5024.831598,5014.766281,15534.73828,20.144651
3270.56117,5014.436482,5000.411297,15543.78906,20.150518
3270.581604,5038.72226,5021.565891,15533.02637,20.143541
3270.602037,5015.503077,4994.907327,15515.82617,20.132385
3270.622471,5000.005291,4978.271271,15516.23926,20.132652
3270.642904,5024.56373,4996.729775,15492.44043,20.117208
3270.663338,5014.560762,4984.632897,15493.98438,20.118212
3270.683772,5028.383285,4992.872686,15490.77539,20.116127
3270.704205,5005.669212,4970.046765,15462.91113,20.098026
3270.724639,5028.415817,4989.422095,15463.16211,20.09819
3270.745072,0,0,15458.32422,20.095045
3270.765506,5036.893305,5037.10905,15448.82813,20.088873
3270.78594,5027.40647,5025.858403,15448.80273,20.088856
3270.806373,5023.941508,5022.062562,15435.13672,20.079969
3270.826807,5000.13103,4995.268145,15421.18457,20.07089
3270.84724,5029.109208,5019.825968,15425.67773,20.073814
3270.867674,5030.5805,5020.064755,15423.0166,20.072084
3270.888108,5026.691982,5014.113411,15411.08008,20.064314
3270.908541,0,0,15398.74805,20.056286
3270.928975,5023.91184,5008.699408,15394.65137,20.053617
3270.949408,5033.468732,5012.620827,15394.37109,20.053434
3270.969842,5026.151699,5007.749976,15384.50488,20.047007
3270.990276,0,0,15371.88574,20.038784
3271.010709,5032.862006,5043.154156,15354.43945,20.027409
3271.031143,5028.062091,5033.047431,15355.30762,20.027975
3271.051576,5040.574202,5046.066456,15347.74023,20.023039
3271.07201,5030.913102,5034.758422,15351.30176,20.025362
3271.092444,5017.668572,5019.941805,15342.5791,20.019672
3271.112877,5021.716257,5023.077516,15337.58398,20.016413
3271.133311,5037.106329,5034.159212,15333.9082,20.014015
3271.153745,5011.515215,5007.041098,15311.22168,19.999203
3271.174178,5027.61378,5020.722315,15303.64844,19.994257
3271.194612,5027.982374,5017.670282,15310.875,19.998978
3271.215045,5037.543231,5030.053889,15308.02539,19.997116
3271.235479,0,0,15279.84668,19.978703
3271.255913,5019.668284,5029.839476,15279.20117,19.978279
3271.276346,5015.029769,5026.745467,15266.72559,19.970123
3271.29678,5000.81273,5012.458801,15251.80859,19.960363
3271.317213,5025.862993,5034.200573,15252.18359,19.960609
3271.337647,5029.457771,5040.471187,15250.27441,19.95936
3271.35808,5025.711788,5035.21061,15241.33691,19.95351
3271.378514,5028.340151,5034.586763,15226.57227,19.943844
3271.398948,5009.446345,5015.207304,15227.16992,19.944235
3271.419381,5014.862093,5017.915354,15225.54883,19.943172
3271.439815,5024.763164,5022.694818,15215.63379,19.936678
3271.460249,5021.381152,5019.586005,15206.0918,19.930426
3271.480682,5055.332173,5050.166082,15194.18359,19.922621
3271.501116,5020.448665,5014.790419,15203.55273,19.928762
3271.521549,5050.745598,5040.600848,15191.49609,19.920858
3271.541983,5028.954754,5014.66163,15178.06641,19.912052
3271.562417,5013.254745,4999.104316,15177.11328,19.911427
3271.58285,5041.584948,5022.661088,15177.96094,19.911982
3271.603284,5026.398974,5005.58214,15147.72168,19.892136
3271.623717,5037.276764,5013.150028,15148.92773,19.892929
3271.644151,5057.112254,5029.434835,15140.54883,19.887426
3271.664585,5027.472117,4993.740993,15136.48828,19.88476
3271.685018,5031.096408,4992.970842,15121.99023,19.875235
3271.705452,5012.570728,4971.45575,15126.80664,19.878401
3271.725885,0,0,15111.64844,19.868439
3271.746319,5046.456591,5039.722903,15106.05371,19.864759
3271.766753,5030.71797,5023.073757,15097.03418,19.858828
3271.787186,5035.12553,5024.066748,15097.86328,19.859371
3271.80762,5011.035974,4997.297522,15084.24805,19.850418
3271.828054,5029.582328,5012.218409,15074.48926,19.843994
3271.848487,5021.098659,4997.763653,15071.81445,19.842234
3271.868921,5026.24255,4999.511761,15064.23828,19.837246
3271.889354,5046.697519,5019.211879,15052.40332,19.829453
3271.909788,5026.619495,4989.200219,15041.41504,19.822214
3271.930222,5020.508163,4981.262432,15035.93164,19.8186
3271.950655,5037.36833,4988.404678,15043.5166,19.823597
3271.971089,0,0,15028.75586,19.813869
3271.991522,5017.893274,5013.633495,15030.77734,19.815203
3272.011956,5008.268421,4999.830376,15014.83008,19.804689
3272.032389,5021.772646,5010.486345,15001.70508,19.79603
3272.052823,5035.044573,5020.281253,15000.73633,19.795391
3272.073257,5023.870386,5005.240328,14982.8291,19.783571
3272.09369,5028.202992,5006.220583,14984.54297,19.784702
3272.114124,5012.235234,4987.900575,14982.48242,19.783344
3272.134557,5044.769342,5014.218357,14970.45215,19.775398
3272.154991,5082.657513,5047.668308,14953.04297,19.763897
