time flux flux_err zp zpsys filter
-2451566.811604 543.6941530000004 24.600136863113093 25.47 ab kst
-2451566.79117 553.0176119999996 24.979472824840222 25.47 ab kst
-2451566.770736 537.2380830000002 24.352648890487806 25.47 ab kst
-2451566.750303 529.0513080000001 24.00973329999663 25.47 ab kst
-2451566.729869 522.4993109999996 23.736626820016653 25.47 ab kst
-2451566.709435 512.0038889999996 23.298925822494414 25.47 ab kst
-2451566.689002 488.0675600000004 22.31874270942869 25.47 ab kst
-2451566.627701 604.2019259999997 26.947427669624798 25.47 ab kst
-2451566.607267 620.5670810000001 27.591275008279272 25.47 ab kst
-2451566.586834 615.5902799999994 27.379091942693304 25.47 ab kst
-2451566.5664 579.8249930000002 25.959283530617917 25.47 ab kst
-2451566.545967 583.6842740000002 26.1221527999505 25.47 ab kst
-2451566.525533 582.6737709999998 26.06149880608972 25.47 ab kst
-2451566.505099 593.5751700000001 26.491721361384784 25.47 ab kst
-2451566.484666 563.3396849999999 25.292048741884784 25.47 ab kst
-2451566.464232 575.780581 25.77775838628156 25.47 ab kst
-2451566.443799 583.6230249999999 26.08851785344128 25.47 ab kst
-2451566.402931 578.9656169999998 25.890100812531763 25.47 ab kst
-2451566.382498 606.2654579999999 26.946868406624326 25.47 ab kst
-2451566.362064 564.9145159999998 25.30883253928286 25.47 ab kst
-2451566.341631 618.4985020000004 27.415057760650438 25.47 ab kst
-2451566.321197 649.2619260000001 28.59381987181814 25.47 ab kst
-2451566.300763 627.0882350000002 27.735461961152968 25.47 ab kst
-2451566.28033 622.287534 27.54418960712693 25.47 ab kst
-2451566.259896 631.5196719999994 27.90218144437556 25.47 ab kst
-2451566.239463 627.7422210000004 27.754359949368567 25.47 ab kst
-2451566.219029 566.4454139999998 25.337609227270377 25.47 ab kst
-2451566.178162 607.6852490000001 26.944412559726203 25.47 ab kst
-2451566.157728 598.6591330000001 26.579215142524266 25.47 ab kst
-2451566.137295 599.3619399999998 26.608331354057828 25.47 ab kst
-2451566.116861 581.1784369999996 25.895180266602164 25.47 ab kst
-2451566.096427 592.1492900000003 26.31808221336451 25.47 ab kst
-2451566.075994 575.0886929999997 25.6348800011093 25.47 ab kst
-2451566.05556 569.7374659999996 25.431301599197806 25.47 ab kst
-2451566.035127 552.901441 24.752175880414434 25.47 ab kst
-2451566.014693 558.3250109999999 24.968865041403475 25.47 ab kst
-2451565.994259 570.1531260000002 25.44202506224807 25.47 ab kst
-2451565.973826 554.6082590000005 24.8330419579435 25.47 ab kst
-2451565.953392 552.1526750000003 24.75782707023758 25.47 ab kst
-2451565.912525 619.908077 27.395457374310666 25.47 ab kst
-2451565.892091 630.2331439999998 27.785947206215216 25.47 ab kst
-2451565.871658 611.3043029999999 27.053068394798867 25.47 ab kst
-2451565.851224 610.371564 26.9739712970332 25.47 ab kst
-2451565.83079 597.2277509999994 26.445594915513478 25.47 ab kst
-2451565.810357 624.9202859999996 27.51626090922086 25.47 ab kst
-2451565.789923 612.9154259999996 27.058093922511613 25.47 ab kst
-2451565.76949 614.5276119999999 27.098664797728713 25.47 ab kst
-2451565.749056 611.3908529999999 26.985242454950136 25.47 ab kst
-2451565.728623 588.1404130000001 26.072878363896738 25.47 ab kst
-2451565.708189 588.1483429999998 26.065199679501237 25.47 ab kst
-2451565.667322 622.3792350000003 27.37978999446689 25.47 ab kst
-2451565.646888 612.5955009999998 26.994739080915895 25.47 ab kst
-2451565.626454 601.1909850000002 26.539838734091514 25.47 ab kst
-2451565.606021 623.4425879999999 27.400922834704794 25.47 ab kst
-2451565.585587 604.7818399999996 26.672548298845854 25.47 ab kst
-2451565.565154 617.0351860000001 27.14294784077314 25.47 ab kst
-2451565.54472 608.86373 26.814663341494494 25.47 ab kst
-2451565.524286 618.1625119999999 27.17659957985516 25.47 ab kst
-2451565.503853 611.1483749999998 26.888086585955538 25.47 ab kst
-2451565.483419 622.8198709999997 27.344106873005114 25.47 ab kst
-2451565.462986 607.0756650000003 26.727164724064018 25.47 ab kst
-2451565.442552 576.4079920000004 25.528603604381694 25.47 ab kst
-2451565.422118 619.386211 27.183958617893083 25.47 ab kst
-2451565.401685 602.3787080000002 26.530064902417898 25.47 ab kst
-2451565.381251 585.9275669999997 25.889084237823017 25.47 ab kst
-2451565.360818 581.4033570000001 25.70807125633209 25.47 ab kst
-2451565.340384 525.8708159999996 23.50477977778369 25.47 ab kst
-2451565.31995 553.2344619999994 24.597551390741668 25.47 ab kst
-2451565.299517 564.7731200000007 25.058087556317723 25.47 ab kst
-2451565.279083 556.931724 24.74918016204934 25.47 ab kst
-2451565.25865 530.7029600000005 23.691104797740426 25.47 ab kst
-2451565.238216 526.9780929999997 23.53820177438577 25.47 ab kst
-2451565.217782 535.6545409999999 23.886008267320793 25.47 ab kst
-2451565.176915 600.303739 26.371877834160035 25.47 ab kst
-2451565.156482 604.9419259999995 26.556765031359205 25.47 ab kst
-2451565.136048 597.8997509999999 26.269827852133 25.47 ab kst
-2451565.115614 617.6653649999998 27.034984939893867 25.47 ab kst
-2451565.095181 601.2028119999995 26.396035924698136 25.47 ab kst
-2451565.074747 595.0082149999998 26.14983982943254 25.47 ab kst
-2451565.054314 604.888688 26.529564086102646 25.47 ab kst
-2451565.03388 582.95766 25.673609972760215 25.47 ab kst
-2451565.013446 606.2153179999996 26.570665061344233 25.47 ab kst
-2451564.993013 569.2692049999996 25.13851902836895 25.47 ab kst
-2451564.972579 539.6825360000003 23.970297041934 25.47 ab kst
-2451564.931712 606.3796929999999 26.551837710768872 25.47 ab kst
-2451564.911278 642.717756 27.92667344556633 25.47 ab kst
-2451564.890845 620.8303700000006 27.090694264345576 25.47 ab kst
-2451564.870411 598.0862880000004 26.22209193875368 25.47 ab kst
-2451564.849977 615.2917180000004 26.86780500808501 25.47 ab kst
-2451564.829544 587.6575479999992 25.79453995653634 25.47 ab kst
-2451564.80911 595.3195780000005 26.100034713991704 25.47 ab kst
-2451564.788677 593.8370420000001 26.02430145624116 25.47 ab kst
-2451564.768243 586.9790789999997 25.754787116367226 25.47 ab kst
-2451564.747809 564.2160890000005 24.860877601460743 25.47 ab kst
-2451564.727376 551.8955479999995 24.37700715360141 25.47 ab kst
-2451564.686509 593.4862430000003 25.981815227170117 25.47 ab kst
-2451564.666075 585.2577369999999 25.658428345242346 25.47 ab kst
-2451564.645641 606.6493499999997 26.480849669119845 25.47 ab kst
-2451564.625208 603.5567190000002 26.354667743120782 25.47 ab kst
