LC of   211559048,,,,,
K2_Time,Counts,Raw,RB,Sky,Error
3265.861459,4580.066053,4783.504304,6.219378,38154.35156,215.856772
3265.881892,4587.051702,4793.324372,5.054806,38189.85547,215.964055
3265.902326,4572.665256,4779.834989,5.650655,38186.71484,215.919807
3265.92276,4594.503331,4802.340268,4.864713,38300.17969,216.261153
3265.943193,4559.387742,4763.829424,6.714272,38220.92969,215.972663
3265.963627,4608.107807,4812.163302,5.905452,37984.45313,215.498206
3265.98406,4590.487708,4794.549599,5.857836,37900.03125,215.239909
3266.004494,4588.384694,4789.125078,6.041323,37840.71094,215.08428
3266.024928,4565.347177,4759.342215,6.901308,37827.1875,214.991592
3266.045361,4602.665171,4795.945814,5.245489,37840.42969,215.11976
3266.065795,4603.465915,4793.761446,5.435368,37823.17188,215.07805
3266.086228,4576.795498,4759.198864,6.700447,37802.04688,214.956869
3266.106662,4599.744974,4776.403257,5.922287,37768.64844,214.930367
3266.127096,4579.650844,4749.973268,6.102528,37768.57422,214.879205
3266.147529,4607.821556,4769.534162,6.224155,37733.70313,214.862205
3266.167963,4583.619537,4733.831412,7.037902,37696.85547,214.707251
3266.188396,4599.087213,4743.694153,6.783062,37652.74219,214.634505
3266.20883,4616.178404,4753.017612,6.107696,37657.875,214.690946
3266.229264,4608.69086,4737.238083,5.83812,37683.0625,214.735886
3266.249697,4613.932146,4729.051308,6.563476,37630.89844,214.616728
3266.270131,4617.92726,4722.499311,6.04901,37596.10156,214.538472
3266.290565,4614.209952,4712.003889,6.144139,37553.78906,214.421475
3266.310998,4603.813022,4688.06756,6.151803,37547.75391,214.379693
3266.331432,0,0,0,37526.88672,0
3266.351865,0,0,0,37506.02344,0
3266.372299,4603.639093,4804.201926,5.179045,37503.85156,214.267579
3266.392733,4619.569555,4820.567081,4.823549,37512.10938,214.329113
3266.413166,4614.493588,4815.59028,5.501944,37458.17578,214.178965
3266.4336,4581.788266,4779.824993,6.321772,37419.4375,213.99704
3266.454033,4590.232985,4783.684274,5.755554,37446.92969,214.08857
3266.474467,4594.712275,4782.673771,6.285348,37374.98047,213.916694
3266.494901,4608.179068,4793.57517,6.124232,37371.04688,213.940987
3266.515334,4582.039528,4763.339685,6.040586,37364.57031,213.85786
3266.535768,4599.039772,4775.780581,6.03868,37329.66406,213.812209
3266.556201,4615.798976,4783.623025,5.787879,37320.90625,213.83261
3266.576635,0,0,0,37337.66797,0
3266.597069,4576.426259,4778.965617,5.540731,37310.27734,213.705094
3266.617502,4598.097305,4806.265458,5.638366,37257.4375,213.625568
