SN90: c:-0.019422343819367145 mwebv:0.1873909643643838 t0:58854.73084016604 x0:0.0004182138988027601 x1:-1.246629918354806 z:0.12940728060975 
SN91: c:-0.07261113112048576 mwebv:0.17936385723152498 t0:58650.52623959807 x0:0.00016946236139268604 x1:0.7927254429441691 z:0.14513503351245882 
SN92: c:-0.0403717916157859 mwebv:0.5551224093477353 t0:58877.76323096884 x0:0.0008591219487381833 x1:-0.014098202195161742 z:0.060207178871091394 
SN93: c:-0.008434390024069505 mwebv:0.3350645552677508 t0:58830.42355266999 x0:0.00023826847321487915 x1:0.9058034534257431 z:0.12956966262132974 
SN94: c:-0.03427836875834812 mwebv:0.029776523322540837 t0:58665.93483371286 x0:0.00017921348510652505 x1:0.5336178178994776 z:0.1458089209504212 
SN95: c:-0.004466042367322263 mwebv:0.20040735641522606 t0:58611.06940458745 x0:0.0001860088345588759 x1:-1.006135933137688 z:0.14313987936655378 
SN96: c:0.003981786466283322 mwebv:0.08279959465942398 t0:58780.112162767444 x0:0.0005489960213633992 x1:-0.21704486838057951 z:0.09191537532680291 
SN97: c:0.023262177465658035 mwebv:0.08399523209038288 t0:58902.0969502207 x0:0.0002327834006174226 x1:-0.23398583564909758 z:0.11149554051747539 
SN98: c:0.058978516632286725 mwebv:0.13057390751649728 t0:58801.71640468018 x0:0.00014306905090604756 x1:0.08477991046848089 z:0.1417586594687008 
SN99: c:0.1367214936050486 mwebv:0.2486121999139376 t0:58719.08122311045 x0:8.602857895893672e-05 x1:0.9094818972676345 z:0.1485014804968249 
SN100: c:0.09801805647039659 mwebv:0.08353850367983967 t0:58858.478026358294 x0:0.0005729546136954227 x1:-0.7318430726696713 z:0.08965149348970369 
SN101: c:-0.0384122589079535 mwebv:0.007237824530848268 t0:58638.85725712709 x0:0.00026514918549430753 x1:0.4110168632590323 z:0.14412685550647414 
SN102: c:0.02945081294297915 mwebv:0.2509568730833467 t0:58881.9614063704 x0:0.00036349650211738564 x1:0.3444176829011684 z:0.11921532305076563 
SN103: c:-0.008207098471637177 mwebv:0.44081079505193155 t0:58836.62175388539 x0:0.00019783139514375394 x1:-1.0461676837081706 z:0.14116633428293762 
SN104: c:2.297654126176151 mwebv:0.16029486615043206 t0:58631.58209171169 x0:5.2758190793919115e-05 x1:19.68176892892531 z:0.05134382323159306 
SN105: c:0.017665786568470107 mwebv:0.045157852185209596 t0:58762.640787541975 x0:0.00025306036216652864 x1:0.8221111457640831 z:0.12401871535558653 
SN106: c:-0.022529811646975827 mwebv:0.053815496609921916 t0:58766.96834636048 x0:0.00020032119697857413 x1:0.07380855057356003 z:0.12420662088678015 
SN107: c:-0.2109428016747064 mwebv:0.12173495061419334 t0:58635.35670715401 x0:0.00020971475496275467 x1:-0.242017269140452 z:0.1473657307909837 
SN108: c:-0.053346095209469695 mwebv:0.024468479617440603 t0:58773.91240547407 x0:0.000266546442915568 x1:1.3022001774977945 z:0.11603410503469963 
SN109: c:-2.554479491439183 mwebv:0.038189212097777515 t0:58591.93744555497 x0:0.0037199651361839755 x1:66.50229898582253 z:0.04046012980754979 
SN110: c:0.011000157512649496 mwebv:0.15468389080776695 t0:58748.45733722581 x0:0.0003437058449743659 x1:-0.30961812505870095 z:0.11926441555436211 
SN111: c:-0.005317864636537443 mwebv:0.07582357511391728 t0:58864.66539297447 x0:0.00019615126982071553 x1:-0.44196706355502435 z:0.14904516696417353 
SN112: c:-0.02621261537692357 mwebv:0.0445228054262987 t0:58806.84476720185 x0:0.0002564153650613326 x1:0.02961080102263257 z:0.10538016767771306 
SN113: c:-0.06250787168010165 mwebv:0.11690351956703555 t0:58933.740887684035 x0:0.00017451836494073044 x1:0.5396381347673237 z:0.13533973944322347 
SN114: c:0.08199799988672654 mwebv:0.08882241529601596 t0:58891.013619152895 x0:0.00027232915530991995 x1:1.2852576209314341 z:0.13947648084882425 
SN115: c:-0.031383108893915705 mwebv:0.11875668093817959 t0:58647.4090390615 x0:0.0009678405484270584 x1:-0.9340692656022087 z:0.07637757066158496 
SN116: c:0.012485651991381965 mwebv:0.029789106703967477 t0:58730.69494854865 x0:0.0002640502849977001 x1:-0.36905614290454725 z:0.11744840296260857 
SN117: c:0.02965797437493188 mwebv:0.3083516289188533 t0:58637.1949202178 x0:0.00021118727771273242 x1:0.8259635779940278 z:0.13954300515330023 
SN118: c:0.062468113239392394 mwebv:0.1601027721203681 t0:58714.91146465317 x0:0.00023919316823471713 x1:-1.4079340268916527 z:0.12418026623665845 
SN119: c:-0.055141154044486766 mwebv:0.15827526722139623 t0:58736.076349026465 x0:0.0017505422758329495 x1:-0.702281852019287 z:0.05588583416113233 
SN120: c:-1.7740454690066265 mwebv:11.848480883007827 t0:58872.993108421026 x0:-1.2980803986961238 x1:-304.18197394197904 z:0.1335923895797886 
SN121: c:-0.014510098935586186 mwebv:0.07546271644418033 t0:58757.76499614084 x0:0.0004784432059635451 x1:-0.5084513878368269 z:0.07772748750965686 
SN122: c:-0.029412125142692026 mwebv:0.023506240837964754 t0:58927.48053670751 x0:0.00013303788286293314 x1:-0.908290802384798 z:0.1498342538127377 
SN123: c:-0.01770399738016341 mwebv:0.02322926334432602 t0:58789.046405951354 x0:0.00017665050890645104 x1:-0.35312072052025056 z:0.13201843556682774 
SN124: c:-0.04692459306554206 mwebv:0.44280768992972713 t0:58673.29776818869 x0:0.0010092912753133538 x1:0.1784902990656961 z:0.0653588607440224 
SN125: c:-0.05495494044966562 mwebv:0.038724699570817075 t0:58635.384008909845 x0:0.00014899328452953032 x1:-0.5316695770584186 z:0.12640228641567736 
SN126: c:-0.05080694147293867 mwebv:0.032321769321355574 t0:58846.24606279915 x0:0.00032881947809360675 x1:0.1126056097175247 z:0.12336177325668678 
SN127: c:0.019067058736134006 mwebv:0.10768789818471343 t0:58788.215388513505 x0:0.00017095320445598182 x1:0.18876894825439694 z:0.13811831838670754 
SN128: c:-0.01730680915651907 mwebv:0.17504561488446632 t0:58655.468890795884 x0:0.0004775272181078911 x1:0.5729287788603163 z:0.08792014213084355 
SN129: c:-0.052210576832602065 mwebv:0.0886973626445261 t0:58936.68545372056 x0:0.00020563917313033255 x1:-1.3314591508192717 z:0.14192907194720117 
SN130: c:0.05892990151379629 mwebv:0.042790743102931225 t0:58712.039758927145 x0:0.00020644697313044414 x1:0.5076847679729125 z:0.13576948691981228 
SN131: c:-0.07067402719598327 mwebv:0.14308527751144193 t0:58623.00585692252 x0:0.00042407472792695085 x1:-0.4593722785806758 z:0.1022788761003215 
SN132: c:-0.19530333731130875 mwebv:1.0569425453054884 t0:58935.81271904309 x0:0.0002234881016693585 x1:-0.4711547554292447 z:0.13138775000494846 
