SN104: c:0.5922629931663936 t0:8.306265193698088 x0:5.2368374706019885e-05 x1:0.8423178918904027 
SN105: c:0.04313622400769718 t0:2.790385872089423 x0:6.600665973316972e-05 x1:0.7002642087763779 
SN106: c:1.2362747946163548 t0:4.421510479206071 x0:0.00013951061691013381 x1:0.7332078404066388 
SN107: c:0.043178700750330354 t0:0.9846453810036948 x0:1.4342242808302547e-05 x1:0.5097445999783246 
SN108: c:0.19526524815187682 t0:3.739442994186391 x0:0.0002588052413398095 x1:0.7593982603626067 
SN109: c:0.07455889341403382 t0:15.149618588121168 x0:0.00045112400931674585 x1:0.8162158732623174 
SN110: c:0 t0:0 x0:0 x1:0 
SN111: c:0.07577787111876201 t0:3.1237283514441567 x0:3.686139149623987e-05 x1:0.902696974276506 
SN112: c:0.08223382995235241 t0:1.6053854183947902 x0:3.5729556738396476e-05 x1:0.7181387921383015 
SN113: c:0 t0:0 x0:0 x1:0 
SN114: c:0.029787709319468947 t0:0.3844430066616943 x0:8.031466261948162e-06 x1:0.44028337853391347 
SN115: c:0.07414451489996993 t0:10.041314278525293 x0:0.00023055959766262075 x1:8.589392829856834 
SN116: c:0.030431297449509034 t0:0.8452658597872182 x0:8.825400748310944e-06 x1:0.5140821802933112 
SN117: c:0.06551492906986553 t0:3.1804103918973885 x0:6.308407498771258e-05 x1:0.7784687594842801 
SN118: c:0.041339051811555776 t0:1.135971439268256 x0:1.766462549209527e-05 x1:0.49831459648013826 
SN119: c:0.027159926021427763 t0:0.332537174841431 x0:1.710651579634302e-05 x1:0.2807937320829195 
SN120: c:0.02671620755142881 t0:0.523562767924181 x0:1.2297895393245314e-05 x1:0.40370688415650324 
SN121: c:0.08424087560080713 t0:4.711454403278681 x0:7.767248107500364e-05 x1:0.6363444742495427 
SN122: c:0.052247026462789996 t0:0.7408085336506255 x0:4.545059614267819e-05 x1:0.728759402179128 
SN123: c:0.08892713968552698 t0:10.422561683353425 x0:0.00018278277421913744 x1:0.713274704089094 
SN124: c:0.04173791328669196 t0:0.8397021092159762 x0:1.392419764170982e-05 x1:0.41944388777848585 
SN125: c:0.17253453373661706 t0:1.0583173378777349 x0:7.662545847783375e-05 x1:0.7818780409535296 
SN126: c:0.028335917256999937 t0:1.2074699639993023 x0:2.9624564287727364e-05 x1:0.4043612465930289 
SN127: c:0.056985112596255154 t0:4.15291918818789 x0:4.217456255359191e-05 x1:0.7534999533619439 
SN128: c:0.02369533515281275 t0:1.0715352819704433 x0:1.3702118512805906e-05 x1:0.43459280762793584 
