SN1: c:0.03736600315805755 t0:0.06325811861101868 x0:1.127239558209306e-05 x1:0.08551909244543214 
SN133: c:0.014714261310756304 t0:0.037698431097442746 x0:1.0025611154603653e-05 x1:0.0478902749985959 
SN134: c:0.04776162217622966 t0:0.04612085153647983 x0:1.7161840421810744e-05 x1:0.08651711221044495 
SN135: c:0.04214778779344677 t0:0.057378312257889495 x0:1.9685663947124617e-05 x1:0.08869306126624463 
SN136: c:0.04128644633513556 t0:0.12162760743315797 x0:1.0560827428211517e-05 x1:0.2084330836273028 
SN137: c:0.026425174567871957 t0:0.06388754774062802 x0:3.6999794053967886e-06 x1:0.11933147895088077 
SN138: c:0.09304233887847803 t0:0.024964008295694586 x0:4.388658309513838e-05 x1:0.18063355867846098 
SN139: c:0.03345246884577194 t0:0.037118617937712484 x0:2.691485572806094e-05 x1:0.05228568696159193 
SN140: c:0.08320588663773354 t0:0.06942029023226687 x0:1.8415290960782515e-05 x1:0.1827950509273096 
SN141: c:0.029099773244704488 t0:0.061402136068911164 x0:4.074995757531984e-06 x1:0.10316993047266439 
SN142: c:0.0396077197500333 t0:0.04188994989705851 x0:1.581313988141916e-05 x1:0.0948706578453309 
SN143: c:0.051893630884642036 t0:0.0661065094375397 x0:7.993107898265758e-06 x1:0.15180329104402612 
SN144: c:0.0335479169734207 t0:0.05264551266033251 x0:7.82329925186765e-06 x1:0.09059101586201576 
SN145: c:0.049431987291122935 t0:0.05712666884514051 x0:1.8961179645359132e-05 x1:0.08820437208817285 
SN146: c:0.058605572954126224 t0:0.05637603240469579 x0:1.1169179696562298e-05 x1:0.11825894090770452 
SN147: c:0.023565367309245626 t0:0.05260408813133904 x0:2.6318792796798067e-06 x1:0.10661728981968002 
SN148: c:0.039622390432795716 t0:0.05870375976086578 x0:1.0539946831235035e-05 x1:0.08667516555517388 
SN149: c:1.5639001692174932 t0:0.6511741431773218 x0:0.00018394569933636023 x1:4.400992955730774 
SN150: c:0.018982947524407393 t0:0.054973047004670345 x0:4.142219180054196e-06 x1:0.07283423816279597 
SN151: c:0.05918049527770291 t0:0.06063230611547597 x0:8.06167264239934e-06 x1:0.14254920752742883 
SN152: c:0.010874572523943513 t0:0.03401220810090755 x0:2.1292268759812706e-05 x1:0.039250481715024536 
SN153: c:0.04117325119506665 t0:0.11254157937463947 x0:3.3049008131592955e-05 x1:0.0822567898990407 
SN154: c:0.07266640302263717 t0:0.13463282988970537 x0:1.3140414688670058e-05 x1:0.21888119950946697 
SN155: c:0 t0:0 x0:0 x1:0 
SN156: c:0.06931459098618101 t0:0.06492142092565048 x0:1.768412448931502e-05 x1:0.10322362808419405 
SN157: c:0.05581428231025883 t0:0.06697090097571423 x0:5.210183599073199e-06 x1:0.1280948080830893 
SN158: c:0.039426849784727304 t0:0.05338855236238187 x0:3.758470974775396e-06 x1:0.11858559127122748 
SN159: c:0.054101316880409346 t0:0.06471937807975668 x0:7.187601917416127e-06 x1:0.11363917412930565 
SN160: c:0.04095379780145685 t0:0.06642233791964045 x0:7.490925734906751e-06 x1:0.11678565524578134 
SN161: c:0.05341647454059297 t0:0.07860865412217541 x0:8.721862874891393e-06 x1:0.13211029303042715 
SN162: c:0.047179358184154384 t0:0.058809156103965976 x0:5.501753694004614e-06 x1:0.12576486881041105 
SN163: c:0.010383838196718348 t0:0.04082059030666579 x0:1.2879726219001857e-05 x1:0.05132821165983516 
SN164: c:0.07471869610486341 t0:0.4583611540755774 x0:0.00034380524745411935 x1:0.46538403443236814 
SN165: c:0.04555554844768398 t0:0.06163509545084485 x0:7.939300169578739e-06 x1:0.10836921931817843 
SN166: c:0.04653040589875652 t0:0.056782941514658486 x0:2.694956243632188e-05 x1:0.1261440255467217 
SN167: c:0.05393583661271752 t0:0.07816026825425054 x0:7.838062731368785e-06 x1:0.18181227823224755 
SN168: c:0.08061506296268547 t0:0.1779186621617828 x0:1.6278182644996223e-05 x1:0.3553871916545307 
SN169: c:0.04381089569963469 t0:0.05597759967268262 x0:1.0357889778131299e-05 x1:0.09981798193503487 
SN170: c:0.0777619697503423 t0:0.262760625799547 x0:1.8139722388357324e-05 x1:0.453652722271914 
SN171: c:0.03886582994576647 t0:0.067629562448948 x0:1.025162343065109e-05 x1:0.10550797055162663 
SN172: c:0.027152303459673944 t0:0.04719369274680343 x0:8.592816431162708e-06 x1:0.07979234523877375 
SN173: c:0.0407142087513265 t0:0.05676682095414473 x0:4.820722870588362e-06 x1:0.11400711415713077 
SN174: c:0.035494414073119894 t0:0.052777227700835906 x0:9.4476677994885e-06 x1:0.10942350446720618 
SN175: c:0.05132430242309674 t0:0.06616815470474441 x0:5.7852377867433194e-06 x1:0.14238921201388632 
SN176: c:0.03029949987572993 t0:0.04136652325455828 x0:1.561693454412688e-05 x1:0.07518282303595526 
SN177: c:0.040961736686422986 t0:0.06207267864099574 x0:1.9477038621176935e-05 x1:0.09263159698308844 
SN178: c:0.051218276981528255 t0:0.061292339454306344 x0:9.703859553599237e-06 x1:0.0930970851092397 
SN179: c:0.04335253481665337 t0:0.06489643357127034 x0:1.0078279279899251e-05 x1:0.09981200825058283 
SN180: c:0.0540530662671922 t0:0.0657472426262252 x0:7.525619157937421e-06 x1:0.13273597068602389 
SN181: c:0.025902149483173032 t0:0.06652459925697832 x0:6.418043885817016e-06 x1:0.13817297814876625 
SN182: c:0.0282366540831267 t0:0.04156236862988878 x0:3.465116263148346e-05 x1:0.05449158567298388 
SN183: c:0.08017422405218626 t0:0.1091728603643303 x0:2.452420855581668e-05 x1:0.23771634081989745 
SN184: c:0.03237332578413607 t0:0.044725551856330356 x0:1.4313252133830178e-05 x1:0.0744064803212854 
SN185: c:0.04943766786041355 t0:0.06397886788035773 x0:8.242622251247468e-06 x1:0.12324433899581377 
SN186: c:0.037809433445645205 t0:0.06325667265749928 x0:8.179480505857648e-06 x1:0.11556590478956084 
SN187: c:0.0556516671002011 t0:0.06376835347412808 x0:4.587641832191021e-06 x1:0.1340300464274408 
SN188: c:0.04203541640025587 t0:0.06198133179247927 x0:1.2991865535768832e-05 x1:0.08755463165195403 
SN189: c:0.02154904117135907 t0:0.052623638510987523 x0:7.289517589733078e-06 x1:0.07997687885078701 
SN190: c:1.876149408166257 t0:3.6292651904512114 x0:0.0034061588575367264 x1:5.609457214982151 
SN191: c:0.027939706953793317 t0:0.06340860345853024 x0:6.620749809466068e-06 x1:0.09134408754301117 
SN192: c:0.03362111230467158 t0:0.04194390006842591 x0:0.0001001402815721107 x1:0.06185642635073969 
SN193: c:0.017257012666587468 t0:0.04609157808671709 x0:7.579565542886209e-06 x1:0.05795151323088115 
SN194: c:0.022117580733650916 t0:0.043567118869338665 x0:9.73880909287783e-06 x1:0.07038002290795724 
SN195: c:0.02509665909133955 t0:0.048502124517991296 x0:1.0335657765640107e-05 x1:0.0744375252476207 
SN196: c:0.04793938233881528 t0:0.061578962057550674 x0:1.4871881384508349e-05 x1:0.09789405511090896 
SN197: c:0.03290841685461467 t0:0.06325613522117647 x0:7.685760333703015e-06 x1:0.10573593488042168 
SN198: c:0.06287310980958628 t0:0.06817333129397628 x0:1.7403868192773274e-05 x1:0.17855582707349335 
SN199: c:0.02182353623643782 t0:0.02964119830891895 x0:2.1932848220274495e-05 x1:0.05873835575090137 
SN200: c:0.03225267516281452 t0:0.044747179116465696 x0:7.265992066355001e-06 x1:0.08834538033027166 
SN201: c:0.04296602049782593 t0:0.04763724453529184 x0:6.0024362707805e-06 x1:0.07068055075878797 
SN202: c:0.04896334790093705 t0:0.056504566886582834 x0:1.1521791704133128e-05 x1:0.11016991500887385 
SN203: c:0.04025284576756541 t0:0.06117108607126203 x0:1.4541439902029002e-05 x1:0.08978710126362435 
SN204: c:0.014354443882965548 t0:0.045153311221380485 x0:1.1465634348306006e-05 x1:0.05610448680882608 
SN205: c:0.06767425308634162 t0:0.06804865514928028 x0:6.614028425060303e-06 x1:0.146907219944315 
SN206: c:0.031108742483262838 t0:0.0391864823918275 x0:6.9757308952512765e-06 x1:0.09408281891840503 
SN207: c:0.010401904107538006 t0:0.02881245326679164 x0:2.798929753945041e-05 x1:0.030453429034465542 
SN208: c:0.03718641693538001 t0:0.05745351631819542 x0:6.814905219419648e-06 x1:0.12263892757957091 
SN209: c:0.3795685381786086 t0:0.5290860829034316 x0:7.322214114506551e-05 x1:0.518587521950856 
SN210: c:0.036229579258122584 t0:0.05435832558153596 x0:4.8545271181598234e-06 x1:0.11844703414976356 
SN211: c:0.032885036538242506 t0:0.05216330527347858 x0:1.4409108863810753e-05 x1:0.09768671826012 
SN212: c:0.05379102014535583 t0:0.06540650392857977 x0:7.509638217821811e-06 x1:0.1196385062807027 
SN213: c:0.0598587462928357 t0:0.0660269779013197 x0:1.1039279912570347e-05 x1:0.14889161631263015 
SN214: c:0.3564668744383863 t0:3.367664197688002 x0:0.00019688339310054473 x1:28.753223002389927 
SN215: c:0.023456791061351553 t0:0.03750651696145351 x0:9.78833794883062e-06 x1:0.060202207148730154 
SN216: c:0.029210067014857996 t0:0.048409845116723985 x0:2.950796277928806e-05 x1:0.06988839449719668 
SN217: c:0.03632422940967572 t0:0.041357609397449605 x0:2.5994549580787125e-05 x1:0.054697590961051985 
SN218: c:0.03738713888358679 t0:0.027420789517304544 x0:2.3105561670919e-05 x1:0.06208909791753137 
SN219: c:0.027858734759156602 t0:0.044796457623664604 x0:1.543328204103228e-05 x1:0.056767478329614214 
SN220: c:0.04428358075171107 t0:0.0663312037137123 x0:1.3413152140401809e-05 x1:0.11471628284036162 
SN221: c:0.03411718968070648 t0:0.05737251760701184 x0:7.427247052551499e-06 x1:0.0920113213899641 
SN222: c:0.024069785737263975 t0:0.04571044616718324 x0:1.9311797902316893e-05 x1:0.05596793590757134 
SN223: c:0.07975135304456753 t0:0.4599685344978673 x0:6.280330892377437e-05 x1:0.5650928101402818 
SN224: c:0.052260447591392985 t0:0.06203446266793735 x0:9.755198191160761e-06 x1:0.13154222359277712 
SN225: c:0 t0:0 x0:0 x1:0 
SN226: c:0.03917570185265156 t0:0.06787873379370564 x0:4.356874951365315e-06 x1:0.14477223106645964 
SN227: c:0.047534439624768846 t0:0.061997222448339495 x0:5.608105962673794e-06 x1:0.09507219624188269 
SN228: c:0.02697192888879252 t0:0.037913633251673656 x0:2.013833213604021e-05 x1:0.06772374842374768 
SN229: c:1.191674141930562 t0:7.660714100068623 x0:0.00027171326134285977 x1:60.41871622289384 
SN230: c:0.03554139290867035 t0:0.045812960227862035 x0:2.8284705142393127e-05 x1:0.08629328195486283 
SN231: c:0.04381056282688318 t0:0.0661257508593758 x0:1.3540807030707018e-05 x1:0.12179741848424165 
SN232: c:0.047914358748 t0:0.062175589947550645 x0:9.277692567418517e-06 x1:0.11691997590252981 
SN233: c:0.021137482707088377 t0:0.06268103134655585 x0:4.618859146711819e-06 x1:0.09576290913555893 
SN234: c:0.048046808939459666 t0:0.05636039266220773 x0:8.38160306319493e-06 x1:0.12713963107424794 
SN235: c:0.04931446115682945 t0:0.0648798193042233 x0:1.0368692421011546e-05 x1:0.13252197613256414 
SN236: c:0.08131876772816601 t0:0.07269485965989911 x0:6.588546131477262e-06 x1:0.18281798089042142 
SN237: c:0.03232088689069425 t0:0.030305122281360727 x0:2.3360159694963044e-05 x1:0.07118836149648886 
SN238: c:0.017771508508886976 t0:0.037687146079524676 x0:5.0159207449297775e-06 x1:0.06104009465588165 
SN239: c:0.059722244472373905 t0:0.04961118141304975 x0:6.381964133496525e-06 x1:0.140848123066794 
SN240: c:0.01714398055708475 t0:0.04891624930476953 x0:1.0352328010214932e-05 x1:0.0691561529751108 
SN241: c:0.04836999062782778 t0:0.06706607695452138 x0:4.7910224975119045e-06 x1:0.13346477711654042 
SN242: c:0.00878851940652406 t0:0.2957353258653523 x0:0.0021346317331597683 x1:0.16321589298525438 
SN243: c:0.03784475944205062 t0:0.04839639385924498 x0:1.2900634235142997e-05 x1:0.0726832393179312 
SN244: c:0.03810914784958608 t0:0.05283930446734235 x0:7.614407248190668e-06 x1:0.07865694219066438 
SN245: c:0.025623796564474045 t0:0.059672655421263016 x0:7.317188660349409e-06 x1:0.09034663179551727 
SN246: c:0.04317433672494556 t0:0.05646295014414794 x0:5.373422540445488e-06 x1:0.10464070565657049 
SN247: c:0.036716208067578006 t0:0.06162539670740345 x0:6.998181702659091e-06 x1:0.10809625476781697 
SN248: c:0.051898897128126856 t0:0.03431141586909111 x0:3.3615712995117336e-05 x1:0.08207118459720023 
SN249: c:0.06597137620175283 t0:0.05865547942987629 x0:6.638667917117183e-06 x1:0.1557238124025966 
SN250: c:0.03573084565943178 t0:0.05093582910266243 x0:1.711646829260038e-05 x1:0.08688776539795257 
SN251: c:0.06635306872844669 t0:0.05105362181004156 x0:2.4021754804102883e-05 x1:0.11407842238324642 
SN252: c:0.04716619969707217 t0:0.06440996901031486 x0:6.834265116213305e-06 x1:0.10963142203847011 
SN253: c:0.023410557867101157 t0:0.05346495747315822 x0:5.32426468968185e-06 x1:0.0982157431875324 
SN254: c:0.050603548805322286 t0:0.06283733044855883 x0:7.936206833577729e-06 x1:0.11810024530208765 
SN255: c:0.047207732780951264 t0:0.06408671768421409 x0:6.347375091408745e-06 x1:0.13354279144217254 
SN256: c:0.04874897060705466 t0:0.28671491284103895 x0:5.43494814588461e-05 x1:4.183616870993317 
SN257: c:0.027851102534861748 t0:0.06560772731396793 x0:6.299706292157521e-06 x1:0.10540208105523081 
SN258: c:0.046717503169161165 t0:0.05558183366306433 x0:1.9178868936164028e-05 x1:0.09489659728678505 
