SN62: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN63: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN64: c:0.11693690316506902 mwebv:0.17891341752976903 t0:58755.118306966826 x0:0.0005370479190373975 x1:-1.0673277827124206 z:0.0678867758862418 
SN65: c:-0.021635936337620728 mwebv:0.016878999349115263 t0:58849.23634450903 x0:0.0004208308794694591 x1:0.26733757834829913 z:0.09226293749691533 
SN66: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN67: c:0.19066529403067062 mwebv:0.056778372409049496 t0:58911.72582249366 x0:0.0007961506714050641 x1:-2.2688986860536353 z:0.07442677098083691 
SN68: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN69: c:0.017365813322732456 mwebv:0.06189445267239072 t0:58899.86306798738 x0:0.0004810853742174148 x1:-0.1693008240498383 z:0.1401064114739316 
SN70: c:0.031414051618830874 mwebv:0.0425501007918055 t0:58782.17226753524 x0:0.0010213088683638655 x1:-0.8459269017579399 z:0.10422244154332636 
SN71: c:0.03183309880823699 mwebv:0.0121107310247071 t0:58750.661986799576 x0:0.00024246553011780247 x1:-0.47005415263840944 z:0.14824995587991566 
SN72: c:-0.10418659828121875 mwebv:0.4034677851278284 t0:58887.175146667 x0:0.0007526980323612468 x1:-0.7313257751058777 z:0.09814358352502917 
SN73: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN74: c:-0.008615256284965931 mwebv:0.05498136908907918 t0:58894.48426114854 x0:0.0004726411978264928 x1:-0.8481646772953769 z:0.10168178533537317 
SN75: c:0.03480177447224478 mwebv:0.006821510678015813 t0:58825.66728459812 x0:0.0023906222273634313 x1:-1.9830178571446246 z:0.040827825348402444 
SN76: c:-0.20216882191731173 mwebv:0.09179407897764728 t0:58687.038320052496 x0:0.00020330153474189193 x1:-0.6872254244024096 z:0.14702088463263263 
SN77: c:0.021841516301142654 mwebv:0.08778276917974859 t0:58859.039274872914 x0:0.0003599162769304423 x1:-0.3572839889726272 z:0.12316401365144024 
SN78: c:0.08978532205630044 mwebv:0.0506096523958122 t0:58632.489404876695 x0:0.0005946655521516194 x1:0.004370935395307316 z:0.09491862355292258 
SN79: c:0.04830042331998098 mwebv:0.09300986444344456 t0:58758.55827926273 x0:0.0005167096188443503 x1:-1.2733731290290988 z:0.13124787581171973 
SN80: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN81: c:0.05691935317076085 mwebv:0.01786612241316345 t0:58587.327575918425 x0:0.0003173257454041782 x1:-1.004363538169604 z:0.13629865697133037 
SN82: c:0.010422902716049388 mwebv:0.052723922947830876 t0:58670.29798925709 x0:0.00031987041723494385 x1:0.3982853290342563 z:0.11708378118329081 
SN83: c:0.03280379149957449 mwebv:0.08354752366865902 t0:58786.72065458381 x0:0.0004234064054664918 x1:-0.9841241122428468 z:0.12941000428200272 
SN84: c:0.02229622561864446 mwebv:0.01830562046200584 t0:58684.03695921229 x0:0.0003439566078519594 x1:-0.1428560025611446 z:0.13155125261881617 
SN85: c:-0.08904193214907627 mwebv:0.03417773099067053 t0:58670.303294191406 x0:0.0003255944809591493 x1:-0.1266634210598344 z:0.13140442536120733 
SN86: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN87: c:0.03419179269862858 mwebv:0.5210382006341782 t0:58707.69902885505 x0:5.123473683722333e-05 x1:-2120.439179430363 z:0.13886691924406566 
SN88: c:0.05014799877442909 mwebv:0.22688158852336937 t0:58909.05026022421 x0:0.00035062261513569074 x1:-0.8307173553699946 z:0.10387829256831849 
SN89: c:0.054918018739450715 mwebv:0.03432654475458447 t0:58613.972169045424 x0:0.00027300691986283825 x1:-0.4919038290593994 z:0.13677790266568662 
