K2_Time,Filter,Raw,RB,Sky,Error
3264.145012,g,6759.125278,5.543034,21106.12109,35.198891
3264.165446,g,6746.932999,4.738481,21099.39844,35.186942
3264.185879,g,6789.805,3.043326,21105.41016,35.217814
3264.206313,g,6743.374496,3.573749,21088.58594,35.177861
3264.226746,g,6713.576288,4.382757,21094.25586,35.16261
3264.24718,g,0,2.663817,21087.08984,0
3264.267614,g,6712.597649,5.256564,21048.72461,35.133192
3264.288047,g,6709.477664,4.172832,21047.66992,35.13055
3264.308481,g,6725.256657,4.218005,21016.16406,35.120596
3264.328914,g,6721.898322,5.268791,20996.17969,35.105817
3264.349348,g,6680.412858,7.36986,20968.11719,35.061747
3264.369782,g,0,0,20952.53906,0
3264.390215,g,0,0,20936.95898,0
3264.410649,g,6497.387352,17.986538,20946.46484,34.931728
3264.431082,g,6715.407666,6.110911,20899.39063,35.040353
3264.451516,g,6708.57282,5.956213,20890.08984,35.030114
3264.47195,g,0,0,20876.60938,0
3264.492383,g,0,0,20863.125,0
3264.512817,g,0,0,20851.61523,0
3264.533251,g,0,0,20835.34375,0
3264.553684,g,6704.676184,6.697936,20819.07813,34.982542
3264.574118,g,6678.733684,6.68084,20816.20313,34.964224
3264.594551,g,6697.066806,6.882205,20794.68164,34.962197
3264.614985,g,6720.806348,7.176177,20897.32617,35.042468
3264.635419,g,6729.09923,6.320621,20772.07031,34.968187
3264.655852,g,6723.646852,6.655898,20748.87695,34.94997
3264.676286,g,6740.11323,5.903676,20730.48047,34.948743
3264.696719,g,6762.6307,5.731246,20720.20898,34.956532
3264.717153,g,6750.580663,6.767753,20686.03906,34.927125
